question,answer,company,category,tags
[Amazon] Are there any hidden charges?,"No, the final amount shown at checkout includes all taxes and shipping fees.",Amazon,Product Quality,"amazon,productquality"
[Amazon] My bank account was debited but the order failed.,The amount will be naturally auto-refunded by your bank within 3-5 business days.,Amazon,Accounts,"amazon,accounts"
[Amazon] How do I apply a promo code?,Enter the promo code in the 'Apply Coupon' field during checkout.,Amazon,Discounts & Offers,"amazon,discountsandoffers"
[Amazon] Why is my coupon not working?,Coupons may have expired or may not be applicable to the items in your cart.,Amazon,Discounts & Offers,"amazon,discountsandoffers"
[Amazon] Do you have a loyalty program?,"Yes, join our premium membership for exclusive discounts and free shipping.",Amazon,Technical Support,"amazon,technicalsupport"
[Amazon] Are bank offers available?,Bank-specific discounts are listed on the product page and applied at checkout.,Amazon,Shipping & Delivery,"amazon,shippinganddelivery"
[Flipkart] Where is my order?,You can track your order in the 'Orders' section of your Flipkart account.,Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] How long does shipping take?,Standard shipping takes 3-5 business days. Expedited options are available at checkout.,Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] Can I change my delivery address?,"Yes, you can update your address before the item ships from the 'Orders' page.",Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] Do you offer international shipping?,Flipkart currently serves select international locations. Check our shipping policy for details.,Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] Why is my delivery delayed?,Delays can occur due to weather or logistics. Please check the tracking link for updates.,Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] What happens if I miss my delivery?,Our delivery partners will usually attempt delivery 3 times before returning the item.,Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] Can I pick up my order from a store?,"Depending on the location, Flipkart offers pickup points. Check availability at checkout.",Flipkart,Technical Support,"flipkart,technicalsupport"
[Flipkart] How do I contact the delivery agent?,You will receive the agent's contact details via SMS when the order is out for delivery.,Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] Is shipping free?,Free shipping is available on eligible orders or for Flipkart premium members.,Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] How do I return an item?,"Go to 'Orders', select the item, and click 'Return/Replace'.",Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] What is your return policy?,"Most items can be returned within 7-30 days of delivery, depending on the product category.",Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] When will I get my refund?,Refunds are processed within 5-7 business days after we receive the returned item.,Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] Can I exchange my item for a different size?,"Yes, you can request an exchange for apparel and footwear if the size is available.",Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] Do I have to pay for return shipping?,Return shipping is generally free for eligible items on Flipkart.,Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] My item arrived damaged. What do I do?,Please initiate a return immediately and upload photos of the damage.,Flipkart,Technical Support,"flipkart,technicalsupport"
[Flipkart] Why was my return rejected?,Returns may be rejected if tags are missing or the item appears used. Contact support for details.,Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] How do I get a refund for a cancelled order?,Refunds for cancelled orders are processed automatically to your original payment method.,Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] How do I change my password?,Go to settings > security and click 'change password'.,Flipkart,Accounts,"flipkart,accounts"
[Flipkart] How do I close my account?,"Navigate to account settings, select 'Deactivate Account', and follow the prompts.",Flipkart,Accounts,"flipkart,accounts"
[Flipkart] Is my credit card information secure?,"Yes, Flipkart uses industry-standard encryption for all transactions.",Flipkart,General,"flipkart,general"
[Flipkart] How do I update my email address?,Go to 'Personal Details' in your account settings.,Flipkart,Accounts,"flipkart,accounts"
[Flipkart] Can I share my account with family?,"You can add multiple addresses, but sharing login details is discouraged for security reasons.",Flipkart,Accounts,"flipkart,accounts"
[Flipkart] What do I do if my account is hacked?,Reset your password immediately and contact Flipkart customer support.,Flipkart,Accounts,"flipkart,accounts"
[Flipkart] How do I unsubscribe from marketing emails?,Click the 'unsubscribe' link at the bottom of any promotional email.,Flipkart,Accounts,"flipkart,accounts"
[Flipkart] How do I enable two-factor authentication?,Go to 'Login & Security' settings to enable 2FA for your account.,Flipkart,Returns & Refunds,"flipkart,returnsandrefunds"
[Flipkart] Where can I find my invoice?,Invoices are available under the 'Orders' or 'Billing' section of your profile.,Flipkart,Billing,"flipkart,billing"
[Flipkart] What payment methods do you accept?,"We accept Credit/Debit cards, Net Banking, UPI, and select Digital Wallets.",Flipkart,Billing,"flipkart,billing"
[Flipkart] Why did my payment fail?,"This usually happens due to insufficient funds, bank server issues, or an expired card.",Flipkart,Billing,"flipkart,billing"
[Flipkart] Can I pay cash on delivery?,"Yes, Cash on Delivery (COD) is available for many locations and products.",Flipkart,Shipping & Delivery,"flipkart,shippinganddelivery"
[Flipkart] How do I use my wallet balance?,You can select your Flipkart wallet balance as a payment method during checkout.,Flipkart,Billing,"flipkart,billing"
[Flipkart] Are there any hidden charges?,"No, the final amount shown at checkout includes all taxes and shipping fees.",Flipkart,Technical Support,"flipkart,technicalsupport"
[Flipkart] My bank account was debited but the order failed.,The amount will be naturally auto-refunded by your bank within 3-5 business days.,Flipkart,Accounts,"flipkart,accounts"
[Flipkart] How do I apply a promo code?,Enter the promo code in the 'Apply Coupon' field during checkout.,Flipkart,Discounts & Offers,"flipkart,discountsandoffers"
[Flipkart] Why is my coupon not working?,Coupons may have expired or may not be applicable to the items in your cart.,Flipkart,Discounts & Offers,"flipkart,discountsandoffers"
[Flipkart] Do you have a loyalty program?,"Yes, join our premium membership for exclusive discounts and free shipping.",Flipkart,Product Quality,"flipkart,productquality"
[Flipkart] Are bank offers available?,Bank-specific discounts are listed on the product page and applied at checkout.,Flipkart,General,"flipkart,general"
[Myntra] Where is my order?,You can track your order in the 'Orders' section of your Myntra account.,Myntra,Accounts,"myntra,accounts"
[Myntra] How long does shipping take?,Standard shipping takes 3-5 business days. Expedited options are available at checkout.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] Can I change my delivery address?,"Yes, you can update your address before the item ships from the 'Orders' page.",Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] Do you offer international shipping?,Myntra currently serves select international locations. Check our shipping policy for details.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] Why is my delivery delayed?,Delays can occur due to weather or logistics. Please check the tracking link for updates.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] What happens if I miss my delivery?,Our delivery partners will usually attempt delivery 3 times before returning the item.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] Can I pick up my order from a store?,"Depending on the location, Myntra offers pickup points. Check availability at checkout.",Myntra,Product Quality,"myntra,productquality"
[Myntra] How do I contact the delivery agent?,You will receive the agent's contact details via SMS when the order is out for delivery.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] Is shipping free?,Free shipping is available on eligible orders or for Myntra premium members.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] How do I return an item?,"Go to 'Orders', select the item, and click 'Return/Replace'.",Myntra,Returns & Refunds,"myntra,returnsandrefunds"
[Myntra] What is your return policy?,"Most items can be returned within 7-30 days of delivery, depending on the product category.",Myntra,Returns & Refunds,"myntra,returnsandrefunds"
[Myntra] When will I get my refund?,Refunds are processed within 5-7 business days after we receive the returned item.,Myntra,Returns & Refunds,"myntra,returnsandrefunds"
[Myntra] Can I exchange my item for a different size?,"Yes, you can request an exchange for apparel and footwear if the size is available.",Myntra,Returns & Refunds,"myntra,returnsandrefunds"
[Myntra] Do I have to pay for return shipping?,Return shipping is generally free for eligible items on Myntra.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] My item arrived damaged. What do I do?,Please initiate a return immediately and upload photos of the damage.,Myntra,Product Quality,"myntra,productquality"
[Myntra] Why was my return rejected?,Returns may be rejected if tags are missing or the item appears used. Contact support for details.,Myntra,Returns & Refunds,"myntra,returnsandrefunds"
[Myntra] How do I get a refund for a cancelled order?,Refunds for cancelled orders are processed automatically to your original payment method.,Myntra,Returns & Refunds,"myntra,returnsandrefunds"
[Myntra] How do I change my password?,Go to settings > security and click 'change password'.,Myntra,Accounts,"myntra,accounts"
[Myntra] How do I close my account?,"Navigate to account settings, select 'Deactivate Account', and follow the prompts.",Myntra,Accounts,"myntra,accounts"
[Myntra] Is my credit card information secure?,"Yes, Myntra uses industry-standard encryption for all transactions.",Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] How do I update my email address?,Go to 'Personal Details' in your account settings.,Myntra,Accounts,"myntra,accounts"
[Myntra] Can I share my account with family?,"You can add multiple addresses, but sharing login details is discouraged for security reasons.",Myntra,Accounts,"myntra,accounts"
[Myntra] What do I do if my account is hacked?,Reset your password immediately and contact Myntra customer support.,Myntra,Accounts,"myntra,accounts"
[Myntra] How do I unsubscribe from marketing emails?,Click the 'unsubscribe' link at the bottom of any promotional email.,Myntra,Accounts,"myntra,accounts"
[Myntra] How do I enable two-factor authentication?,Go to 'Login & Security' settings to enable 2FA for your account.,Myntra,Accounts,"myntra,accounts"
[Myntra] Where can I find my invoice?,Invoices are available under the 'Orders' or 'Billing' section of your profile.,Myntra,Billing,"myntra,billing"
[Myntra] What payment methods do you accept?,"We accept Credit/Debit cards, Net Banking, UPI, and select Digital Wallets.",Myntra,Billing,"myntra,billing"
[Myntra] Why did my payment fail?,"This usually happens due to insufficient funds, bank server issues, or an expired card.",Myntra,Billing,"myntra,billing"
[Myntra] Can I pay cash on delivery?,"Yes, Cash on Delivery (COD) is available for many locations and products.",Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
[Myntra] How do I use my wallet balance?,You can select your Myntra wallet balance as a payment method during checkout.,Myntra,Discounts & Offers,"myntra,discountsandoffers"
[Myntra] Are there any hidden charges?,"No, the final amount shown at checkout includes all taxes and shipping fees.",Myntra,Product Quality,"myntra,productquality"
[Myntra] My bank account was debited but the order failed.,The amount will be naturally auto-refunded by your bank within 3-5 business days.,Myntra,Accounts,"myntra,accounts"
[Myntra] How do I apply a promo code?,Enter the promo code in the 'Apply Coupon' field during checkout.,Myntra,Discounts & Offers,"myntra,discountsandoffers"
[Myntra] Why is my coupon not working?,Coupons may have expired or may not be applicable to the items in your cart.,Myntra,Discounts & Offers,"myntra,discountsandoffers"
[Myntra] Do you have a loyalty program?,"Yes, join our premium membership for exclusive discounts and free shipping.",Myntra,Technical Support,"myntra,technicalsupport"
[Myntra] Are bank offers available?,Bank-specific discounts are listed on the product page and applied at checkout.,Myntra,Shipping & Delivery,"myntra,shippinganddelivery"
